id_oportunidade,id_vendedor,id_empresa,id_produto,data,ano,trimestre,estagio,valor
1,1,19,2,2023-01-01,2023,1,Commit,11656.48
2,1,5,2,2023-01-01,2023,1,Lead,14387.16
3,1,28,3,2023-01-01,2023,1,Pipeline,27557.82
4,1,22,1,2023-01-01,2023,1,Lead,4319.96
5,1,20,2,2023-01-01,2023,1,Pipeline,11446.88
6,1,28,2,2023-01-01,2023,1,Pipeline,14261.18
7,1,29,1,2023-01-01,2023,1,Pipeline,4229.1
8,2,10,2,2023-01-01,2023,1,Commit,11232.84
9,2,24,2,2023-01-01,2023,1,Lead,9615.58
10,2,6,3,2023-01-01,2023,1,Lead,25005.86
11,2,10,3,2023-01-01,2023,1,Closed,28705.19
12,2,12,3,2023-01-01,2023,1,Pipeline,21989.11
13,2,17,1,2023-01-01,2023,1,Pipeline,5557.25
14,2,4,1,2023-01-01,2023,1,Pipeline,4977.21
15,3,19,2,2023-01-01,2023,1,Lead,10756.18
16,3,3,1,2023-01-01,2023,1,Lead,4971.98
17,3,16,3,2023-01-01,2023,1,Commit,21283.91
18,3,20,3,2023-01-01,2023,1,Lead,25276.74
19,3,25,2,2023-01-01,2023,1,Closed,14058.78
20,4,21,3,2023-01-01,2023,1,Lead,29951.49
21,4,4,2,2023-01-01,2023,1,Pipeline,12084.36
22,4,19,1,2023-01-01,2023,1,Lead,4676.17
23,4,3,3,2023-01-01,2023,1,Lead,22202.17
24,5,11,1,2023-01-01,2023,1,Lead,4062.83
25,5,16,1,2023-01-01,2023,1,Pipeline,4556.95
26,5,29,1,2023-01-01,2023,1,Pipeline,5446.71
27,6,26,3,2023-01-01,2023,1,Pipeline,27846.19
28,6,14,2,2023-01-01,2023,1,Lead,10065.27
29,6,24,2,2023-01-01,2023,1,Pipeline,11841.72
30,6,4,1,2023-01-01,2023,1,Pipeline,5968.33
31,6,28,1,2023-01-01,2023,1,Pipeline,4678.61
32,6,15,1,2023-01-01,2023,1,Lead,4380.42
